such as,様に
Save Cache Settings,キャッシュ設定を保存
Catalog Rewrites,カタログリライト
Refresh,リフレッシュ
Images Cache,画像キャッシュ
Clear,クリア
Search Index,検索索引
Rebuild,再構築します
Inventory Stock Status,在庫在庫状況
Rebuild Catalog Index,カタログのインデックスを再構築
Rebuild Flat Catalog Category,フラットカタログのカテゴリーを再構築
Rebuild Flat Catalog Product,フラットカタログ製品を再構築
Cache Control,キャッシュ制御
All Cache,すべてのキャッシュ
No change,変化なし
Add Design Change,デザインの変更を追加
Edit Design Change,編集デザイン変更
New Store Design Change,新店舗のデザイン変更
General Settings,一般設定
Custom Design,特注デザイン
Date From,日から
Date To,現在まで
Design Change,設計変更
Delete %1 '%2',%1 '%2'を削除します
Delete %1,%1を削除します
Block Information,ブロック情報
Backup Options,バックアップオプション
Create DB Backup,DBのバックアップを作成します
Delete Store,ストアの削除
Delete Web Site,Webサイトの削除
Save Web Site,保存したWebサイト
Save Store,保存ストア
Save Store View,保存ストアを見ます
Delete Store View,ストアビューを削除
Edit Web Site,編集ウェブサイト
New Web Site,新しいWebサイト
Edit Store,編集ショップ
New Store,新店舗
Edit Store View,編集ストアを見ます
New Store View,新しいストアを見ます
Store Information,店舗情報
Root Category,ルートカテゴリ
Default Store View,デフォルトのストアを見ます
Store View Information,ストアビュー情報
Sort Order,ソート順序
Web Site Information,Webサイトの情報
Default Store,デフォルトのストア
Set as Default,デフォルトとして設定
Stores,店舗
Create Website,ウェブサイトを作成します
Create Store,ストアを作成します
Create Store View,ストアビューを作成します
Add New Image,新しいイメージの追加
Export block for grid %1 is not defined,グリッド%1のエクスポートブロックが定義されていません
Reset Filter,フィルターをリセット
Date selector,日付セレクタ
[ deleted ],[削除]
 [deleted],[削除]
We couldn\'t find any records., 'tは任意のレコードを検索\ couldn
Add New,新しく追加する
Invalid export type supplied for grid export block,グリッドのエクスポートブロックのために供給無効なエクスポートタイプ
Please correct the column format and try again.,列形式を訂正して再試行してください
Please select items.,項目を選択してください
Submit,提出します
Unknown block type,不明なブロックタイプ
Please correct the tab configuration and try again. Tab Id should be not empry,タブの設定を訂正して再試行してくださいタブIdはempryないでなければなりません
Please correct the tab configuration and try again.,タブの設定を訂正して再試行してください
You have logged out.,ログアウトしています
Specified cache type(s) don\'t exist: %1,指定されたキャッシュのタイプ（複数可）ドン\ 'tは存在する：%1
The image cache was cleaned.,画像キャッシュを洗浄しました
An error occurred while clearing the image cache.,画像キャッシュをクリア中にエラーが発生しました
The JavaScript/CSS cache has been cleaned.,JavaScriptの/ CSSのキャッシュが洗浄されました
An error occurred while clearing the JavaScript/CSS cache.,JavaScriptの/ CSSのキャッシュをクリアしているときにエラーが発生しました
The static files cache has been cleaned.,静的ファイルキャッシュが洗浄されました
You flushed the cache storage.,キャッシュストレージをフラッシュ
The Magento cache storage has been flushed.,Magentoのキャッシュ記憶がフラッシュされました
Cache Management,キャッシュ管理
%1 cache type(s) disabled.,%1キャッシュタイプ（複数可）無効になっています
An error occurred while disabling cache.,キャッシュを無効にしているときにエラーが発生しました
%1 cache type(s) enabled.,%1キャッシュタイプ（複数可）が有効になって
An error occurred while enabling cache.,キャッシュを有効にしているときにエラーが発生しました
%1 cache type(s) refreshed.,%1のキャッシュ・タイプ（複数可）がリフレッシュ
An error occurred while refreshing cache.,キャッシュの更新中にエラーが発生しました
Dashboard,ダッシュボード
We updated lifetime statistic.,生涯の統計を更新しました
We can\'t refresh lifetime statistics., 'tは生涯の統計をリフレッシュ\ことができます
invalid request,無効なリクエスト
see error log for details,詳細についてはエラーログを参照してください
Service unavailable: %1,サービスは使用できません：%1
Access Denied.,アクセスが拒否されました
You need more permissions to do this.,これを行うにはより多くの権限が必要です
No search modules were registered,いいえ検索モジュールが登録されませんでした
Please make sure that all global admin search modules are installed and activated.,すべてのグローバル管理検索モジュールがインストールされアクティベートされていることを確認してください
You deleted the design change.,設計変更を削除しました
You can't delete the design change.,設計変更を削除することはできません
Store Design,店舗設計
Edit Store Design Change,編集ショップデザイン変更
You saved the design change.,設計変更を保存しました
System,システム
Manage Stores,店舗を管理します
The database was backed up.,データベースにバックアップされました
We can\'t create a backup right now. Please try again later.,現在バックアップができません後ほどお試しください
